"","Id","ActivityDate","TotalSteps","TotalDistance","TrackerDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","Date","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed"
"1",1503960366,2016-04-20,10544,6.679999828,6.679999828,0,1.960000038,0.4799999893,4.239999771,0,28,12,205,818,1786,2016-04-20,1,360,377
"2",1503960366,2016-04-26,13755,8.789999962,8.789999962,0,2.329999924,0.9200000167,5.539999962,0,31,23,279,833,1970,2016-04-26,1,245,274
"3",1503960366,2016-05-06,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,1896,2016-05-06,1,334,367
"4",1503960366,2016-05-03,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990,2016-05-03,1,273,296
"5",1503960366,2016-04-15,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,2016-04-15,1,412,442
"6",1927972279,2016-04-26,3761,2.599999905,2.599999905,0,0,0,2.599999905,0,0,0,192,1058,2638,2016-04-26,1,296,315
"7",1927972279,2016-04-28,1675,1.159999967,1.159999967,0,0,0,1.159999967,0,0,0,95,1167,2351,2016-04-28,1,166,178
"8",1927972279,2016-04-15,980,0.6800000072,0.6800000072,0,0,0,0.6800000072,0,0,0,51,941,2221,2016-04-15,2,475,499
"9",1927972279,2016-04-13,356,0.25,0.25,0,0,0,0.25,0,0,0,32,986,2151,2016-04-13,1,398,422
"10",1927972279,2016-04-12,678,0.4699999988,0.4699999988,0,0,0,0.4699999988,0,0,0,55,734,2220,2016-04-12,3,750,775
"11",2026352035,2016-04-20,7222,4.480000019,4.480000019,0,0,0,4.480000019,0,0,0,327,623,1667,2016-04-20,1,461,510
"12",2026352035,2016-05-06,8198,5.079999924,5.079999924,0,0,0,5.079999924,0,0,0,383,511,1736,2016-05-06,1,524,548
"13",2026352035,2016-05-01,3609,2.279999971,2.279999971,0,0,0,2.279999971,0,0,0,191,716,1447,2016-05-01,1,527,546
"14",2026352035,2016-04-27,6088,3.769999981,3.769999981,0,0,0,3.769999981,0,0,0,286,586,1593,2016-04-27,1,508,545
"15",2026352035,2016-04-30,4729,2.930000067,2.930000067,0,0,0,2.930000067,0,0,0,233,594,1506,2016-04-30,1,573,607
"16",2347167796,2016-04-22,7804,5.159999847,5.159999847,0,0.5600000024,1.679999948,2.920000076,0,9,27,206,781,1946,2016-04-22,1,405,461
"17",2347167796,2016-04-26,5980,3.950000048,3.950000048,0,0,0,3.950000048,0,0,0,227,732,1861,2016-04-26,1,436,490
"18",2347167796,2016-04-24,9471,6.260000229,6.260000229,0,0,0,6.260000229,0,0,0,360,584,2187,2016-04-24,1,442,459
"19",2347167796,2016-04-23,16901,11.36999989,11.36999989,0,2.779999971,1.450000048,7.150000095,0,32,35,360,591,2629,2016-04-23,1,374,386
"20",2347167796,2016-04-13,10352,7.010000229,7.010000229,0,1.659999967,1.940000057,3.410000086,0,19,32,195,676,2038,2016-04-13,1,467,531
"21",3977333714,2016-04-19,12414,8.779999733,8.779999733,0,2.24000001,2.450000048,3.960000038,0,19,67,221,738,1638,2016-04-19,1,219,395
"22",3977333714,2016-04-26,11388,7.619999886,7.619999886,0,0.4499999881,4.21999979,2.950000048,0,7,95,170,797,1551,2016-04-26,1,250,371
"23",3977333714,2016-04-30,13238,9.199999809,9.199999809,0,3.690000057,2.099999905,3.410000086,0,43,52,194,687,1650,2016-04-30,1,237,382
"24",3977333714,2016-04-28,7114,4.880000114,4.880000114,0,1.370000005,0.2899999917,3.220000029,0,15,8,190,804,1407,2016-04-28,1,261,423
"25",3977333714,2016-05-03,14335,9.590000153,9.590000153,0,3.319999933,1.74000001,4.53000021,0,47,41,258,594,1710,2016-05-03,1,292,500
"26",4020332650,2016-05-03,4496,3.220000029,3.220000029,0,0,0,3.150000095,0.05000000075,0,0,174,950,2828,2016-05-03,1,322,332
"27",4020332650,2016-05-04,10252,7.349999905,7.349999905,0,0.6700000167,1.039999962,5.579999924,0,13,46,346,531,3879,2016-05-04,1,478,536
"28",4020332650,2016-05-08,5862,4.199999809,4.199999809,0,0,0,4.150000095,0,0,0,263,775,3089,2016-05-08,1,364,402
"29",4020332650,2016-05-10,5546,3.980000019,3.980000019,0,0,0,3.869999886,0.03999999911,0,0,206,774,2926,2016-05-10,1,442,494
